Име,Опис,Линк до слика на продукт,Линк до продукт,Цена,Намалена цена,Валута,Достапни величини,Достапни бои
Kid Long Pant 3A01484,"Водоотпорни Софтшел Панталони
Изработени од средно дебел софтшел материјал
Водоотпорност: 7.000mm
Дишливост: 1.000mm",https://www.scout.mk/wp-content/uploads/2022/12/3A01484_U423_A-600x600.png,https://www.scout.mk/product/kid-long-pant-3a01484/,3090,3090,МКД,"['104', '110', '116', '128', '152']",['grey']
KID SWEAT 3G28134,Детски полар,https://www.scout.mk/wp-content/uploads/2023/11/3G28134_C704_A-600x600.png,https://www.scout.mk/product/kid-sweat-3g28134/,1290,1290,МКД,"['104', '110', '116', '140']","['blue', 'lime', 'orange']"
Kid T-Shirt 38T6744,Детска техничка маичка со кратки ракави,https://www.scout.mk/wp-content/uploads/2024/04/38T6744_C550_A.png,https://www.scout.mk/product/kid-t-shirt-38t6744/,990,990,МКД,"['104', '116', '140', '164', '98']",['orange']
Kid Zip Off Pant 3T51644,"2во1 Панталони (Зип-Оф), четиринасочно растегливи, со патент се претвораат во бермуди",https://www.scout.mk/wp-content/uploads/2024/04/3T51644_U423_A.png,https://www.scout.mk/product/kid-zip-off-pant-3t51644-2/,2790,2790,МКД,"['116', '152']",['grey']
Kids Companero Cap 1900741,"Капа
Изработена од 100% рециклиран материјал",https://www.scout.mk/wp-content/uploads/2021/05/1900741-1033-9-A260-kids-companero-cap-night-blue-600x600.png,https://www.scout.mk/product/kids-companero-cap-1900741/,990,990,МКД,['m'],['navy']
Kids Hiking Stripe Classic Cut 1908571,Детски чорапи за пешачење со добро амортизирање,https://www.scout.mk/wp-content/uploads/2022/10/1908571_1024_A300-600x600.png,https://www.scout.mk/product/kids-hiking-stripe-classic-cut-1908571/,790,790,МКД,['31-33'],['navy']
Kids Trekking Sock Wool Mid 3I49174,Чорапи за долго пешачење со комресиони зони и задебелувања за заштита од триење,https://www.scout.mk/wp-content/uploads/2022/12/3I49174_M870_A-600x600.png,https://www.scout.mk/product/kids-trekking-sock-wool-mid-3i49174/,790,790,МКД,"['25-27', '28-30', '31-33']",['navy']
KING II,Детски поларен блејзер,https://www.scout.mk/wp-content/uploads/2025/02/RKA147_0LB_P_A-4-600x600.jpg,https://www.scout.mk/product/king-ii/,973,1390,МКД,"['10', '11', '13', '14', '3', '5', '7', '9']","['navy', 'pink', 'violet']"
LEVER II,"Детска спортска јакна, водоотпорна и лесна",https://www.scout.mk/wp-content/uploads/2025/02/RKW164-ZV75-6.jpg,https://www.scout.mk/product/lever-ii/,2890,2890,МКД,"['10', '11', '12', '13', '5', '6', '7', '8', '9']","['blue', 'navy', 'red']"
LOCO,Детска поларна блуза Локо,https://www.scout.mk/wp-content/uploads/2025/02/RKA224-4.jpeg,https://www.scout.mk/product/loco/,1390,1390,МКД,"['11', '13', '5', '9']",['grey']
Supplex Canyon Cap Kids 1905901,"Капа
Изработена од брзосушечки и лесен материјал со УВ заштита",https://www.scout.mk/wp-content/uploads/2021/05/1905901-1010-9-A260-supplex-canyon-cap-kids-night-blue-1-600x600.png,https://www.scout.mk/product/supplex-canyon-cap-kids-1905901/,1390,1390,МКД,['m'],['navy']
TAZ HAT II,Флис капа,https://www.scout.mk/wp-content/uploads/2022/10/RKC088_540_P_1Product-600x600.jpg,https://www.scout.mk/product/taz-hat-ii-rkc088/,790,790,МКД,['7-10'],['navy']
TAZ II,Флис ракавици,https://www.scout.mk/wp-content/uploads/2022/10/RKG024_540_P_1-600x600.jpg,https://www.scout.mk/product/taz-ii-rkg024/,1090,1090,МКД,"['11-13', '4-6', '7-10']","['navy', 'pink']"
VOLC REFLEC JKT VIII,Јакна,https://www.scout.mk/wp-content/uploads/2024/12/RKP275-M039-.jpg,https://www.scout.mk/product/volcreflecjktviii-k-rkp275/,3990,3990,МКД,"['11-12', '13', '5-6', '7-8', '9-10']","['blue', 'sky']"
